399215,138262
400332,136990
398099,138058
399351,137319
400212,137949
397799,141494
399886,135773
397328,139157
398009,139049
393661,139257
398009,136194
405084,135772
404340.06,137226.22
399215.87,138751.2
397694,143150
401701,136862
399886,136609
398532,137185
401980,139268
400096,137623
401276,138113
396523,137847
395293,137321
394626,137194
397329.19,137185.6
396662,138346
393159,139530
393159,139530
396230,137254
398010,136809
396168,137533
398358,137118
397162,140763
397768,138713
396385,137809
400865,130192
402873,140629
396232,137746
401427,137980
400130,142891
397431,138753
401310,137764
400251,128889
405746,137644
399489,137576
399078,136928
400232,135255
406836,135296
398273,137243
399081,139841
394088,138708
407549,136017
400311,138005
397953,140415
401131,139751
401618,137619
394548,137621
401506,134591
397162,140182
402411,131808
401521,136902
396986,140220
399218,128170
405391,135837
401169,129438
396312,137622
398946,139329
399756,137184
397161,140414
396721,139565
404985,133303
396721,139565
398099,138206
401337,134586
393836,141788
403859,135396
394307,140824
397986,143279
401494,134506
398597,137252
399081,139151
396294,140397
397264,143590
403102,132317
400761,140829
398477,137319
401211,138483
403516,133455
400541,139301
400384,136927
397893,139390
396846,144135
397486,140410
394550,137528
399213,134772
396378,139491
398477,137319
397228,137406
402603,133930
400931,135354
399439,141530
407549,136017
405084,135772
397553,143323
397577,143785
399591,130876
400916,133085
399121,136672
397228,138017
397115,137977
401014,134725
397281,140197
400135,137565
406936,135770
403057,134458
401965,133728
402132,133764
400936,134825
404102,139117
395850,138729
397961,139579
398186,137531
398508,136963
399871,142835
405167,134538
396594,137321
397426,143205
394964.33,140772.69
396307,137533
397431,138975
404459,136336
402556,139092
396385,137809
397564,138713
401745,135773
396660,137583
398793,140371
397497,138792
400183,131022
397328,136474
400437,135275
398597,137252
398946,139210
401892,135229
399695,137774
400134,135836
403540,135863
398993,143246
397131,146728
396930,140374
399886,139033
399886,137184
396558,139123
399078,136928
402248,133774
397919,137069
407727,136182
402057,132117
397701,138567
406891,136981
405592,138052
391639,138818
405054,134472
399758,135044
399074,137856
399489,137576
400954,137154
395597,137490
395681,135613
399009,133657
400233,135898
397603,144181
405953,135519
400251.6,140497.96
400384,136370
401721,133117
398009,139049
397893,139390
396559,137255
405486,136549
397648,141376
401935,136325
394919,137190
401424,138629
399848,128205
398274,138222
400637,136105
400931,135354
394741,137195
397083,140096
401893,133657
397497,136959
396614,139560
399080,138386
397497,136718
397965,138634
404691,137003
405780,138199
395499,139592
399852,143321
402062,139288
401183,132940
393875,141593
405327,135921
400039,130691
399489,129550
402965,132500
403930,133240
397174,140033
405041,137572
400971,136018
397874,139955
397641,142485
400929,139738
398005,142793
397431,138854
397497,138792
404253,136093
405842,134775
400383,134987
397965,138140
396859,140350
394626,137194
398880,137708
398269,143351
399358,137621
403340,132012
396731,139353
404806,136726
400383,140498
399695,138591
398614,138431
397431,138854
397498,140312
404004,135088
398477,137319
397965,137709
396312,138086
397564,138552
396915.49,137186.09
397655,139302
403262,139389
402634,139215
397609,138916
402158,138824
402835,139007
397129,139520
405429,134623
404004,135088
