DAY,THEFT/OTHER,403859,135396,38.88639519,-76.95552118
DAY,THEFT/OTHER,394307,140824,38.93528248,-77.06566248
DAY,MOTOR VEHICLE THEFT,397986,143279,38.95741395,-77.02323648
DAY,THEFT F/AUTO,401494,134506,38.87838492,-76.9827821
DAY,THEFT/OTHER,398597,137252,38.90312206,-77.01617476
DAY,THEFT/OTHER,399081,139151,38.92022954,-77.01059741
DAY,THEFT/OTHER,396294,140397,38.93144657,-77.04274233
DAY,THEFT/OTHER,397264,143590,38.96021356,-77.03156778
DAY,THEFT F/AUTO,403102,132317,38.85866132,-76.96426026
DAY,THEFT/OTHER,400761,140829,38.93534564,-76.9912227
DAY,THEFT/OTHER,398477,137319,38.90372542,-77.01755835
DAY,THEFT F/AUTO,401211,138483,38.91421162,-76.98603658
DAY,THEFT/OTHER,403516,133455,38.86891133,-76.95948453
DAY,THEFT/OTHER,400541,139301,38.9215811,-76.99376136
DAY,THEFT F/AUTO,400384,136927,38.90019538,-76.99557316
DAY,THEFT F/AUTO,397893,139390,38.92238048,-77.02429753
DAY,THEFT F/AUTO,396846,144135,38.96512166,-77.03639314
DAY,THEFT F/AUTO,397486,140410,38.93156789,-77.02899471
DAY,THEFT/OTHER,394550,137528,38.90559259,-77.06283358
DAY,THEFT F/AUTO,399213,134772,38.88078207,-77.00907024
EVENING,THEFT/OTHER,396378,139491,38.92328539,-77.04176875
EVENING,THEFT/OTHER,398477,137319,38.90372542,-77.01755835
EVENING,THEFT/OTHER,397228,137406,38.9045061,-77.03195817
EVENING,THEFT F/AUTO,402603,133930,38.8731935,-76.97000339
EVENING,THEFT F/AUTO,400931,135354,38.88602481,-76.98926935
EVENING,THEFT/OTHER,399439,141530,38.9416606,-77.0064711
EVENING,THEFT/OTHER,407549,136017,38.89196545,-76.91298346
EVENING,THEFT F/AUTO,405084,135772,38.8897761,-76.94139906
EVENING,ASSAULT W/DANGEROUS WEAPON,397553,143323,38.95780921,-77.02823237
EVENING,THEFT/OTHER,397577,143785,38.96197109,-77.0279571
EVENING,THEFT F/AUTO,399591,130876,38.84568554,-77.00471144
MIDNIGHT,THEFT/OTHER,400916,133085,38.86558477,-76.98944527
EVENING,THEFT F/AUTO,399121,136672,38.8978979,-77.01013298
EVENING,THEFT/OTHER,397228,138017,38.9100102,-77.03196064
EVENING,THEFT/OTHER,397115,137977,38.9096495,-77.03326334
EVENING,THEFT F/AUTO,401014,134725,38.88035844,-76.98831363
EVENING,THEFT/OTHER,397281,140197,38.92964851,-77.03135819
EVENING,MOTOR VEHICLE THEFT,400135,137565,38.90594279,-76.99844356
EVENING,THEFT/OTHER,406936,135770,38.88974543,-76.92005194
EVENING,THEFT F/AUTO,403057,134458,38.87794847,-76.9647692
EVENING,ASSAULT W/DANGEROUS WEAPON,401965,133728,38.87137546,-76.97735619
EVENING,THEFT/OTHER,402132,133764,38.87169938,-76.97543164
EVENING,THEFT F/AUTO,400936,134825,38.88125937,-76.98921245
EVENING,THEFT/OTHER,404102,139117,38.91991416,-76.95269815
EVENING,THEFT F/AUTO,395850,138729,38.91641871,-77.04785302
MIDNIGHT,THEFT F/AUTO,397961,139579,38.92408322,-77.02351392
MIDNIGHT,THEFT F/AUTO,398186,137531,38.90563464,-77.02091379
MIDNIGHT,THEFT/OTHER,398508,136963,38.9005185,-77.01720019
MIDNIGHT,THEFT/OTHER,399871,142835,38.95341658,-77.00148825
MIDNIGHT,ROBBERY,405167,134538,38.87865928,-76.94045164
MIDNIGHT,THEFT F/AUTO,396594,137321,38.90373816,-77.03926708
MIDNIGHT,THEFT F/AUTO,397426,143205,38.95674587,-77.02969719
MIDNIGHT,THEFT/OTHER,394964.33,140772.69,38.93482428,-77.05808053
MIDNIGHT,THEFT/OTHER,396307,137533,38.90564677,-77.04257699
MIDNIGHT,THEFT F/AUTO,397431,138975,38.9186408,-77.02962367
MIDNIGHT,THEFT/OTHER,404459,136336,38.89486022,-76.94859949
MIDNIGHT,THEFT F/AUTO,402556,139092,38.91969481,-76.9705258
MIDNIGHT,THEFT F/AUTO,396385,137809,38.9081334,-77.04167917
MIDNIGHT,THEFT F/AUTO,397564,138713,38.916281,-77.02808909
MIDNIGHT,ROBBERY,401745,135773,38.88979808,-76.97988618
MIDNIGHT,THEFT F/AUTO,396660,137583,38.9060986,-77.03850746
MIDNIGHT,THEFT/OTHER,398793,140371,38.93121934,-77.01392062
MIDNIGHT,MOTOR VEHICLE THEFT,397497,138792,38.91699247,-77.02886194
MIDNIGHT,MOTOR VEHICLE THEFT,400183,131022,38.84700085,-76.99789191
EVENING,THEFT/OTHER,397328,136474,38.89611062,-77.03080165
DAY,THEFT F/AUTO,400437,135275,38.88531353,-76.99496322
DAY,THEFT F/AUTO,398597,137252,38.90312206,-77.01617476
DAY,THEFT F/AUTO,398946,139210,38.92076088,-77.01215425
DAY,THEFT F/AUTO,401892,135229,38.88489722,-76.97819328
DAY,ROBBERY,399695,137774,38.90782549,-77.00351648
DAY,THEFT F/AUTO,400134,135836,38.89036733,-76.99845543
DAY,THEFT F/AUTO,403540,135863,38.89060344,-76.95919557
DAY,MOTOR VEHICLE THEFT,398993,143246,38.95711841,-77.01161819
DAY,THEFT F/AUTO,397131,146728,38.98848097,-77.03311546
DAY,THEFT F/AUTO,396930,140374,38.93124183,-77.03540706
DAY,THEFT F/AUTO,399886,139033,38.91916703,-77.00131457
DAY,THEFT F/AUTO,399886,137184,38.90251061,-77.00131426
DAY,THEFT F/AUTO,396558,139123,38.91997105,-77.03969115
DAY,THEFT/OTHER,399078,136928,38.90020399,-77.01062902
DAY,THEFT/OTHER,402248,133774,38.87178917,-76.97409487
DAY,THEFT F/AUTO,397919,137069,38.90147219,-77.02399066
EVENING,THEFT/OTHER,407727,136182,38.89345028,-76.91092982
DAY,THEFT/OTHER,402057,132117,38.8568627,-76.97630084
DAY,THEFT F/AUTO,397701,138567,38.91496615,-77.02650888
DAY,THEFT F/AUTO,406891,136981,38.90065491,-76.92055848
DAY,THEFT/OTHER,405592,138052,38.91031207,-76.93552502
DAY,THEFT/OTHER,391639,138818,38.91719047,-77.09641047
DAY,THEFT F/AUTO,405054,134472,38.87806538,-76.94175442
DAY,THEFT F/AUTO,399758,135044,38.88323267,-77.00278917
DAY,THEFT/OTHER,399074,137856,38.90856374,-77.01067639
DAY,THEFT/OTHER,399489,137576,38.90604174,-77.00589141
DAY,THEFT F/AUTO,400954,137154,38.90223985,-76.98900176
DAY,THEFT/OTHER,395597,137490,38.90525614,-77.05076238
DAY,THEFT/OTHER,395681,135613,38.88834786,-77.04978214
DAY,SEX ABUSE,399009,133657,38.8707375,-77.01141975
DAY,THEFT F/AUTO,400233,135898,38.89092583,-76.99731427
DAY,THEFT/OTHER,397603,144181,38.96553843,-77.02765849
EVENING,SEX ABUSE,405953,135519,38.88749153,-76.93138469
DAY,THEFT F/AUTO,400251.6,140497.96,38.93236382,-76.99709819
DAY,THEFT/OTHER,400384,136370,38.89517773,-76.99557347
DAY,THEFT/OTHER,401721,133117,38.86587184,-76.98016947
DAY,THEFT/OTHER,398009,139049,38.91930892,-77.02295885
DAY,THEFT F/AUTO,397893,139390,38.92238048,-77.02429753
MIDNIGHT,THEFT/OTHER,396559,137255,38.90314347,-77.03967026
EVENING,THEFT F/AUTO,405486,136549,38.89677319,-76.93675919
EVENING,MOTOR VEHICLE THEFT,397648,141376,38.94027036,-77.02712963
EVENING,ASSAULT W/DANGEROUS WEAPON,401935,136325,38.8947703,-76.97769458
EVENING,THEFT/OTHER,394919,137190,38.90254998,-77.05857685
EVENING,THEFT F/AUTO,401424,138629,38.91552652,-76.98358028
EVENING,ASSAULT W/DANGEROUS WEAPON,399848,128205,38.82162403,-77.00175036
EVENING,THEFT F/AUTO,398274,138222,38.91185958,-77.01990097
EVENING,THEFT F/AUTO,400637,136105,38.89279036,-76.99265728
EVENING,THEFT F/AUTO,400931,135354,38.88602481,-76.98926935
EVENING,THEFT/OTHER,394741,137195,38.90259398,-77.06062898
EVENING,MOTOR VEHICLE THEFT,397083,140096,38.92873804,-77.03364129
EVENING,ASSAULT W/DANGEROUS WEAPON,401893,133657,38.87073602,-76.97818608
MIDNIGHT,THEFT F/AUTO,397497,136959,38.90048017,-77.02885526
EVENING,MOTOR VEHICLE THEFT,396614,139560,38.9239079,-77.03904755
EVENING,THEFT/OTHER,399080,138386,38.91333817,-77.01060792
EVENING,THEFT/OTHER,397497,136718,38.89830916,-77.02885438
EVENING,THEFT F/AUTO,397965,138634,38.91557036,-77.02346499
MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,404691,137003,38.90086759,-76.94592059
EVENING,ASSAULT W/DANGEROUS WEAPON,405780,138199,38.91163508,-76.93335617
EVENING,THEFT/OTHER,395499,139592,38.92419116,-77.051906
EVENING,THEFT/OTHER,399852,143321,38.95779459,-77.00170756
EVENING,THEFT F/AUTO,402062,139288,38.92146174,-76.97622171
EVENING,THEFT/OTHER,401183,132940,38.86427824,-76.98636897
EVENING,THEFT F/AUTO,393875,141593,38.94220695,-77.07065199
EVENING,THEFT/OTHER,405327,135921,38.89111691,-76.93859696
MIDNIGHT,THEFT F/AUTO,400039,130691,38.84401907,-76.99955075
MIDNIGHT,BURGLARY,399489,129550,38.83374028,-77.00588544
EVENING,THEFT/OTHER,402965,132500,38.86031033,-76.96583791
EVENING,THEFT/OTHER,403930,133240,38.86697277,-76.95471517
EVENING,ROBBERY,397174,140033,38.92817081,-77.03259154
EVENING,ROBBERY,405041,137572,38.9059914,-76.94188149
EVENING,THEFT F/AUTO,400971,136018,38.89200633,-76.98880738
EVENING,THEFT F/AUTO,397874,139955,38.92747014,-77.02451838
EVENING,THEFT/OTHER,397641,142485,38.95026052,-77.02721418
EVENING,BURGLARY,400929,139738,38.92551741,-76.98928648
EVENING,BURGLARY,398005,142793,38.95303597,-77.02301586
EVENING,ROBBERY,397431,138854,38.91755079,-77.02962322
EVENING,THEFT/OTHER,397497,138792,38.91699247,-77.02886194
MIDNIGHT,ROBBERY,404253,136093,38.8926722,-76.95097563
MIDNIGHT,THEFT/OTHER,405842,134775,38.88079004,-76.93267042
MIDNIGHT,ROBBERY,400383,134987,38.88271914,-76.99558577
MIDNIGHT,THEFT F/AUTO,397965,138140,38.91112024,-77.02346353
MIDNIGHT,THEFT F/AUTO,396859,140350,38.93102538,-77.03622581
EVENING,THEFT/OTHER,394626,137194,38.90258427,-77.06195476
MIDNIGHT,THEFT F/AUTO,398880,137708,38.90723028,-77.01291288
EVENING,ASSAULT W/DANGEROUS WEAPON,398269,143351,38.95806315,-77.01997156
EVENING,THEFT F/AUTO,399358,137621,38.90644703,-77.00740177
MIDNIGHT,THEFT F/AUTO,403340,132012,38.85591288,-76.96151962
MIDNIGHT,ROBBERY,396731,139353,38.92204362,-77.03769731
MIDNIGHT,ROBBERY,404806,136726,38.89837165,-76.94459677
MIDNIGHT,ROBBERY,400383,140498,38.93236414,-76.9955827
MIDNIGHT,THEFT/OTHER,399695,138591,38.9151853,-77.00351685
MIDNIGHT,THEFT/OTHER,398614,138431,38.91374293,-77.01598115
MIDNIGHT,THEFT F/AUTO,397431,138854,38.91755079,-77.02962322
MIDNIGHT,BURGLARY,397498,140312,38.93068511,-77.02885595
MIDNIGHT,THEFT/OTHER,404004,135088,38.88361996,-76.95385171
MIDNIGHT,THEFT/OTHER,398477,137319,38.90372542,-77.01755835
MIDNIGHT,MOTOR VEHICLE THEFT,397965,137709,38.90723764,-77.02346225
MIDNIGHT,THEFT F/AUTO,396312,138086,38.91062841,-77.04252231
MIDNIGHT,THEFT F/AUTO,397564,138552,38.91483065,-77.02808852
MIDNIGHT,THEFT F/AUTO,396915.49,137186.09,38.90252403,-77.03556009
MIDNIGHT,THEFT F/AUTO,397655,139302,38.92158715,-77.0270418
MIDNIGHT,MOTOR VEHICLE THEFT,403262,139389,38.92236795,-76.96238324
MIDNIGHT,THEFT F/AUTO,402634,139215,38.92080261,-76.96962588
MIDNIGHT,THEFT F/AUTO,397609,138916,38.91810981,-77.02757091
MIDNIGHT,THEFT F/AUTO,402158,138824,38.91728165,-76.97511613
MIDNIGHT,THEFT F/AUTO,402835,139007,38.91892825,-76.9673089
MIDNIGHT,ROBBERY,397129,139520,38.9235494,-77.03310837
EVENING,THEFT/OTHER,405429,134623,38.87942341,-76.93743148
DAY,THEFT F/AUTO,404004,135088,38.88361996,-76.95385171
DAY,THEFT F/AUTO,401936,130715,38.84423315,-76.97769885
DAY,THEFT/OTHER,399690,137341,38.90392487,-77.00357394
EVENING,THEFT F/AUTO,392863,142226,38.94790156,-77.08233201
DAY,THEFT/OTHER,397750,141199,38.93867616,-77.02595251
EVENING,THEFT/OTHER,404286,133055,38.86530455,-76.95061418
EVENING,THEFT/OTHER,397330,138792,38.91699197,-77.03078761
EVENING,THEFT/OTHER,393843,137761,38.90768687,-77.07098674
EVENING,THEFT/OTHER,406452,136590,38.89713597,-76.92562308
EVENING,THEFT F/AUTO,405649,136393,38.89536685,-76.93488146
EVENING,THEFT/OTHER,394964.33,140772.69,38.93482428,-77.05808053
EVENING,THEFT F/AUTO,398829,138633,38.91556293,-77.01350246
EVENING,THEFT F/AUTO,402573,133827,38.87226572,-76.97034949
EVENING,THEFT/OTHER,394449,137479,38.90515055,-77.06399762
EVENING,THEFT F/AUTO,405524,135817,38.89017883,-76.93632702
EVENING,THEFT/OTHER,397162,140182,38.92951301,-77.03273055
